iter	Passed	Remaining
458	800	943
459	801	940
460	801	937
461	802	934
462	803	931
463	804	928
464	804	925
465	805	923
466	806	920
467	806	917
468	807	914
469	808	911
470	809	908
471	809	905
472	810	903
473	811	900
474	812	897
475	812	894
476	813	891
477	814	889
478	814	886
479	815	883
480	816	880
481	817	878
482	817	875
483	818	872
484	819	869
485	819	867
486	820	864
487	821	861
488	822	859
489	822	856
490	823	853
491	824	851
492	824	848
493	825	845
494	826	843
495	827	840
496	827	837
497	828	835
498	829	832
499	829	829
500	830	827
501	831	824
502	832	822
503	833	819
504	833	817
505	834	814
506	835	812
507	835	809
508	836	806
509	837	804
510	837	801
511	838	799
512	839	796
513	840	794
514	840	791
515	841	789
516	842	786
517	842	784
518	843	781
519	844	779
520	845	777
521	845	774
522	846	772
523	847	769
524	848	767
525	848	764
526	849	762
527	850	760
528	850	757
529	851	755
530	852	752
531	853	750
532	853	748
533	854	745
534	855	743
535	856	741
536	856	738
537	857	736
538	858	733
539	858	731
540	859	729
541	860	727
542	861	725
543	862	722
544	863	720
545	864	718
546	864	716
547	865	714
548	866	711
549	867	709
550	867	707
551	868	705
552	869	702
553	870	700
554	870	698
555	871	696
556	872	693
557	873	691
558	874	689
559	874	687
560	875	685
561	876	683
562	877	680
563	877	678
564	878	676
565	879	674
566	880	672
567	880	669
568	881	667
569	882	665
570	882	663
571	883	661
572	884	659
573	885	656
574	885	654
575	886	652
576	887	650
577	888	648
578	888	646
579	889	644
580	890	642
581	891	639
582	891	637
583	892	635
584	893	633
585	894	631
586	894	629
587	895	627
588	896	625
589	896	623
590	897	621
591	898	619
592	899	617
593	899	614
594	900	612
595	901	610
596	901	608
597	902	606
598	903	604
599	904	602
600	904	600
601	905	598
602	906	596
603	907	594
604	907	592
605	908	590
606	909	588
607	909	586
608	910	584
609	911	582
610	912	580
611	912	578
612	913	576
613	914	574
614	914	572
615	915	570
616	916	568
617	917	566
618	918	565
619	918	563
620	919	561
621	920	559
622	921	557
623	921	555
624	922	553
625	923	551
626	923	549
627	924	547
628	925	545
629	926	543
630	926	541
631	927	540
632	928	538
633	928	536
634	929	534
635	930	532
636	931	530
637	932	528
638	932	526
639	933	525
640	934	523
641	935	521
642	936	519
643	937	518
644	938	516
645	939	514
646	940	513
647	941	511
648	942	509
649	943	508
650	944	506
651	945	504
652	946	502
653	947	501
654	948	499
655	949	497
656	950	496
657	950	494
658	952	492
659	952	490
660	953	489
661	954	487
662	955	485
663	956	484
664	957	482
665	958	480
666	959	479
667	960	477
668	961	475
669	962	473
670	962	472
671	963	470
672	964	468
673	965	467
674	966	465
675	967	463
676	968	462
677	969	460
678	970	458
679	971	457
680	972	455
681	972	453
682	973	451
683	974	450
684	975	448
685	975	446
686	976	444
687	977	443
688	978	441
689	978	439
690	979	438
691	980	436
692	981	434
693	981	432
694	982	431
695	983	429
696	984	427
697	984	426
698	985	424
699	986	422
700	987	421
701	987	419
702	988	417
703	989	416
704	990	414
705	990	412
706	991	410
707	992	409
708	992	407
709	993	405
710	994	404
711	994	402
712	995	400
713	996	399
714	997	397
715	997	395
716	998	394
717	999	392
718	999	390
719	1000	389
720	1001	387
721	1002	385
722	1003	384
723	1004	382
724	1005	381
725	1006	379
726	1007	378
727	1008	376
728	1009	375
729	1010	373
730	1011	372
731	1012	370
732	1013	369
733	1014	367
734	1015	366
735	1016	364
736	1017	363
737	1018	361
738	1019	360
739	1020	358
740	1021	356
741	1022	355
742	1023	353
743	1024	352
744	1025	350
745	1025	349
746	1026	347
747	1028	346
748	1028	344
749	1029	343
750	1030	341
751	1031	340
752	1032	338
753	1033	337
754	1034	335
755	1035	334
756	1036	332
757	1037	331
758	1038	329
759	1039	328
760	1040	326
761	1041	325
762	1042	323
763	1043	322
764	1044	320
765	1045	319
766	1046	317
767	1046	316
768	1047	314
769	1048	313
770	1049	311
771	1050	310
772	1051	308
773	1052	307
774	1053	305
775	1054	304
776	1054	302
777	1055	301
778	1057	299
779	1058	298
780	1059	297
781	1060	295
782	1061	294
783	1061	292
784	1062	291
785	1063	289
786	1064	288
787	1065	286
788	1066	285
789	1067	283
790	1068	282
791	1069	280
792	1069	279
793	1070	277
794	1072	276
795	1073	275
796	1074	273
797	1074	272
798	1075	270
799	1076	269
800	1077	267
801	1078	266
802	1079	264
803	1079	263
804	1080	261
805	1081	260
806	1081	258
807	1082	257
808	1083	255
809	1084	254
810	1084	252
811	1085	251
812	1086	249
813	1087	248
814	1088	247
815	1089	245
816	1089	244
817	1090	242
818	1091	241
819	1091	239
820	1092	238
821	1093	236
822	1093	235
823	1094	233
824	1095	232
825	1096	230
826	1096	229
827	1097	228
828	1098	226
829	1099	225
830	1100	223
831	1102	222
832	1103	221
833	1104	219
834	1105	218
835	1106	217
836	1107	215
837	1108	214
838	1109	212
839	1110	211
840	1111	210
841	1112	208
842	1113	207
843	1114	205
844	1115	204
845	1115	203
846	1116	201
847	1117	200
848	1118	198
849	1119	197
